link\time,7,8,9,10,11,12,13,14,15,16,17,18,len_load,ave_speed,speed_limit
1to2,546,488,521,513,530,478,554,516,565,482,378,555,200,109,40
2to4,253,286,360,364,417,379,400,351,346,380,445,359,650,123,40
4to3,488,425,462,312,442,378,474,366,493,376,493,547,250,105,40
1to3,929,744,589,609,636,688,659,633,635,654,710,689,750,107,30
3to4,546,488,521,513,530,478,554,516,565,482,378,555,250,109,40
4to2,444,510,349,332,254,289,311,323,267,261,249,228,650,136,40
2to1,488,425,462,312,442,378,474,366,493,376,493,547,200,105,40
3to1,608,575,661,730,642,596,555,659,733,704,632,767,750,107,30
